street_name,total_complaints
"warsaw street",41
"lenox street",41
"east ridge road",41
"weldon street",41
"crossfield road",41
"beresford road",41
"moulson street",41
"ontario street",40
"canton street",40
"exchange boulevard",40
"macbeth street",40
"kingston street",40
"yarmouth road",40
"hobart street",40
"milburn street",40
"reliance street",40
"farmington road",40
"christian avenue",39
"walnut street",39
"cypress street",39
"elm drive",39
"fairbanks street",39
"bock street",39
"independence street",39
"strong street",39
"rustic street",39
"hollister street",39
"castlebar road",39
"thorndale terrace",39
"wendell street",39
"dunbar street",39
"cobbs hill drive",39
"waverly place",38
"newcastle road",38
"spencer street",38
"chevalin street",38
"cummings street",38
"brighton street",38
"aab street",38
"pearl street",38
"rogers avenue",38
"akron street",38
"windemere road",37
"stratford park",37
"malling drive",37
"jerold street",37
"third street",37
"arvine heights",37
"oscar street",37
"gray street",37
"mulberry street",37
"rauber street",37
"hillside avenue",37
"elba street",36
"west ridge road",36
"love street",36
"ellsinore street",36
"midland avenue",36
"diringer place",36
"alford street",36
"newcomb street",36
"immel street",36
"virginia avenue",36
"radio street",36
"elmcroft road",35
"dorset street",35
"elmwood avenue",35
"hoff street",35
"furlong street",35
"berkeley street",35
"dorchester road",35
"whittier park",35
"keller street",35
"irvington road",35
"long acre road",35
"karnes street",34
"northview terrace",34
"baycliff drive",34
"eiffel place",34
"pulaski street",34
"gillette street",34
"fifth street",34
"parkdale terrace",34
"nunda boulevard",34
"richland street",34
"princeton street",34
"westmount street",34
"kirkland road",34
"afton street",34
"allandale avenue",34
"hewitt street",34
"lang street",33
"fourth street",33
"tacoma street",33
"sidney street",33
"avenue c",33
"menlo place",33
"dorbeth road",33
"cutler street",33
"north winton road",33
"valley view place",33
"linnet street",33
"alliance avenue",33
"king street",33
"treyer street",33
"dayton street",32
"weider street",32
"evangeline street",32
"middlesex road",32
"greeley street",32
"merriman street",32
"dalkeith road",32
"willite drive",32
"kron street",32
"lehigh avenue",32
"kingsboro road",32
"terrace park",32
"hickory street",32
"elmtree road",31
"laurelton road",31
"stunz street",31
"ries street",31
"trust street",31
"river street",31
"portsmouth terrace",31
"newbury street",31
"texas street",31
"court street",31
"boxart street",31
"yates street",31
"lark street",31
"maryland street",31
"robin street",31
"concord street",31
"stenson street",31
"corwin road",31
"cheltenham road",31
"edgemont road",30
"friederich park",30
"lorenzo street",30
"pinnacle road",30
"gorsline street",30
"wilmington street",30
"arbordale avenue",30
"kosciusko street",30
"isabelle street",30
"wilton terrace",30
"rising place",30
"sumner park",30
"manchester street",30
"delmar street",30
"rosalind street",30
"midvale terrace",30
"raymond street",30
"goodwill street",30
"dana street",30
"holcroft road",30
"glasgow street",30
"arch street",29
"leroy street",29
"violetta street",29
"ketchum street",29
"vick park b",29
"winstead road",29
"enterprise street",29
"frey street",29
"north fitzhugh street",29
"windsor street",29
"truesdale street",29
"hinsdale street",29
"vick park a",29
"asbury street",29
"merwin avenue",28
"penrose street",28
"fernwood park",28
"lowell street",28
"brookdale avenue",28
"chandler street",28
"azalea road",28
"carthage drive",28
"lewis street",28
"suter terrace",28
"trenaman street",28
"revella street",28
"nye park",28
"poplar street",28
"henrietta street",28
"yarker avenue",28
"belknap street",28
"starling street",28
"canfield place",28
"rainier street",27
"redwood road",27
"diem street",27
"bloss street",27
"parker place",27
"east henrietta road",27
"comfort street",27
"carling road",27
"calvin road",27
"pomeroy street",27
"grape street",27
"devonshire court",27
"jefferson terrace",27
"goebel place",27
"sheldon terrace",27
"wilsonia road",27
"chili terrace",27
"brooklyn street",27
"south washington street",27
"gibbs street",27
"chesterfield drive",26
"iceland park",26
"van stallen street",26
"chestnut street",26
"st stanislaus street",26
"colby street",26
"epworth street",26
"arnold park",26
"brookfield road",26
"birch crescent",26
"westview terrace",26
"upton park",26
"presque street",26
"riverview place",26
"amber place",26
"tubman way",26
"bleile terrace",26
"westmoreland drive",26
"harper street",26
"fleming street",26
"rossiter road",26
"niagara street",26
"girton place",25
